City,Longitude,Latitude,20140904,Language20140904,20140905,Language20140905,20140906,Language20140906,20140907,Language20140907,20140908,Language20140908,20140909,Language20140909,20140910,Language20140910,20140911,Language20140911,20140912,Language20140912,20140913,Language20140913,20140914,Language20140914,20140915,Language20140915,20140916,Language20140916,20140917,Language20140917,20140918,Language20140918,20140919,Language20140919,20140920,Language20140920,20140921,Language20140921,20140922,Language20140922,20140923,Language20140923,20140924,Language20140924,20140925,Language20140925,20140926,Language20140926,20140927,Language20140927,20140928,Language20140928,20140929,Language20140929,20140930,Language20140930,20141001,Language20141001,20141002,Language20141002,20141003,Language20141003,20141004,Language20141004,20141005,Language20141005,20141006,Language20141006,20141007,Language20141007,20141008,Language20141008,20141009,Language20141009
Focsani,27.1797,45.7,0,en,1,en,1,en,2,en,3,en,3,en,3,en,3,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,5,en,5,en,5,en,5,en,5,en
Foggia,0,0,1,en,1,en,1,en,1,en,3,en,3,en,3,en,4,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,7,en,7,en,7,en,7,en,7,en
Foley,-87.6836,30.4066,37,en,38,en,38,en,38,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,46,en,46,en,46,en,46,en,46,en
Foligno,12.7015,42.9509,13,en,17,en,18,en,19,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,24,en,27,en,27,en,27,en,27,en,27,en
Folkestone,1.1695,51.0814,1,en,59,en,61,en,61,en,61,en,61,en,61,en,61,en,61,en,61,en,61,en,61,en,61,en,61,en,61,en,61,en,61,en,61,en,61,en,61,en,61,en,61,en,61,en,61,en,61,en,61,en,61,en,61,en,61,en,61,en,64,en,64,en,64,en,64,en,64,en,64,en
Folly Beach,-79.9404,32.6552,0,en,1,en,3,en,4,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,6,en,6,en,7,en,8,en,8,en,9,en,9,en,9,en,9,en
Folsom,-121.1761,38.678,1,en,2,en,4,en,10,en,11,en,13,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,16,en,16,en,16,en,16,en,16,en
Fond du Lac,-88.4471,43.773,8,en,15,en,16,en,19,en,19,en,20,en,23,en,25,en,25,en,25,en,25,en,25,en,25,en,25,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,29,en,29,en,29,en,29,en,30,en,30,en,30,en,30,en
Fontaine,5.6882,45.1928,1,en,2,en,2,en,3,en,3,en,3,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,11,en,11,en,11,en,11,en,11,en,12,en,12,en
Fontainebleau,-80.3478,25.7729,15,en,19,en,20,en,21,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en
Fontaines-sur-Saone,4.8455,45.8358,10,en,47,en,47,en,47,en,47,en,47,en,51,en,51,en,53,en,53,en,53,en,53,en,53,en,53,en,53,en,53,en,53,en,53,en,53,en,53,en,53,en,53,en,53,en,53,en,53,en,53,en,53,en,55,en,55,en,55,en,55,en,55,en,55,en,55,en,55,en,55,en
Fontana,-117.435,34.0922,0,en,3,en,4,en,4,en,4,en,4,en,5,en,5,en,5,en,5,en,5,en,5,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,7,en,7,en,7,en,7,en,17,en,17,en,17,en,17,en,17,en,17,en
Fontenay-aux-Roses,2.2872,48.7898,1,en,1,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,8,en,10,en,12,en,12,en,12,en,12,en
Fontenay-sous-Bois,2.4759,48.8515,0,en,9,en,9,en,9,en,9,en,10,en,10,en,10,en,10,en,12,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,15,en,18,en,19,en,19,en,19,en,19,en,19,en
Foothill Farms,-121.3483,38.6817,10,en,11,en,11,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,15,en,16,en,16,en,16,en,16,en
Forde,5.8509,61.4531,0,en,0,en,0,en,0,en,1,en,1,en,1,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,4,en,4,en,4,en,4,en,4,en,4,en
Fordingbridge,-1.7925,50.9258,12,en,18,en,22,en,22,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,24,en,27,en,27,en,27,en,27,en,27,en
Fordyce,-92.4129,33.8137,7,en,8,en,8,en,14,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,18,en,18,en,18,en,18,en,18,en
Forest,-79.2897,37.3638,11,en,19,en,19,en,19,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en
Forest Acres,-80.9898,34.0193,0,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en
Forest City,-81.8651,35.334,0,en,34,en,34,en,34,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en,39,en
Forest Grove,-123.1107,45.5198,0,en,10,en,10,en,10,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,12,en,12,en,12,en,12,en,12,en,12,en
Forest Hills,-85.4825,42.9487,0,en,2,en,2,en,2,en,2,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,6,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,9,en,9,en,9,en,12,en,12,en,12,en,12,en,12,en,12,en
Forest Lake,-92.9852,45.2789,16,en,942,en,942,en,943,en,943,en,943,en,943,en,943,en,943,en,943,en,943,en,943,en,943,en,943,en,943,en,943,en,943,en,943,en,943,en,943,en,943,en,943,en,947,en,947,en,947,en,947,en,947,en,947,en,948,en,948,en,949,en,949,en,949,en,949,en,949,en,949,en
Forest Park,-84.3691,33.6221,0,en,55,en,55,en,55,en,55,en,55,en,55,en,55,en,55,en,55,en,55,en,55,en,55,en,55,en,55,en,55,en,55,en,55,en,55,en,55,en,55,en,55,en,55,en,56,en,56,en,56,en,56,en,56,en,57,en,57,en,60,en,60,en,60,en,60,en,60,en,60,en
Forest Row,0.0116,51.0854,1,en,68,en,68,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en,74,en
Forestdale,-86.8964,33.5701,0,en,19,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,23,en,23,en,23,en,23,en,23,en,23,en
Foresthill,-120.818,39.0202,1,en,429,en,430,en,430,en,430,en,430,en,431,en,432,en,432,en,432,en,432,en,432,en,432,en,432,en,432,en,432,en,432,en,432,en,432,en,432,en,432,en,432,en,432,en,432,en,432,en,432,en,432,en,432,en,432,en,432,en,432,en,435,en,435,en,435,en,435,en,435,en
Forestville,-76.875,38.8451,3,en,5,en,21,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,24,en,24,en,24,en,24,en,24,en,24,en,25,en,25,en,25,en,25,en,25,en
Forks,-124.3855,47.9504,1,en,2,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,11,en,13,en,13,en,15,en,15,en,15,en,15,en,15,en,15,en
Forli,12.0407,44.2227,0,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,3,en,4,en,4,en,4,en,4,en,4,en
Formigine,10.8478,44.5728,0,en,0,en,0,en,0,en,3,en,3,en,3,en,3,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,5,en,5,en,5,en,5,en,5,en,5,en
Formosa,-58.1754,-26.1852,1,en,2,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,4,en,4,en,4,en,5,en,5,en
Forney,-96.4719,32.7482,0,en,47,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en,56,en
Forres,-3.62,57.6098,0,en,1,en,3,en,3,en,3,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en
Forssa,23.6158,60.8115,18,en,19,en,20,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,23,en,24,en,24,en,24,en,24,en,24,en
Forsyth County,0,0,1,en,10,en,11,en,12,en,12,en,12,en,13,en,13,en,13,en,13,en,13,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en
Fort Atkinson,-88.8371,42.9289,2,en,2,en,5,en,7,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,9,en,9,en,9,en,9,en,9,en
Fort Belvoir,-77.1543,38.7189,14,en,15,en,16,en,17,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,20,en,20,en,20,en,20,en,21,en,21,en,21,en,21,en,21,en
Fort Bliss,-106.4213,31.8124,2,en,8,en,14,en,14,en,14,en,14,en,14,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,17,en,17,en,17,en,17,en,17,en,17,en,17,en,17,en,17,en
Fort Bragg,-123.8053,39.4457,1,en,41,en,42,en,42,en,42,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en
Fort Campbell,-87.4774,36.6634,0,en,14,en,26,en,26,en,26,en,26,en,26,en,28,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en
Fort Carson,-104.7889,38.7375,3,en,4,en,20,en,29,en,30,en,35,en,35,en,35,en,35,en,35,en,35,en,35,en,35,en,35,en,35,en,35,en,35,en,35,en,35,en,35,en,35,en,35,en,35,en,35,en,35,en,35,en,35,en,35,en,35,en,35,en,36,en,36,en,36,en,36,en,36,en,36,en
Fort Collins,-105.0844,40.5853,10,en,10,en,10,en,10,en,10,en,10,en,11,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en
Fort Dodge,-94.168,42.4975,26,en,37,en,38,en,38,en,38,en,38,en,38,en,41,en,41,en,41,en,41,en,41,en,41,en,41,en,42,en,42,en,42,en,42,en,42,en,42,en,42,en,42,en,42,en,42,en,42,en,42,en,42,en,46,en,46,en,46,en,46,en,46,en,46,en,46,en,46,en,46,en
Fort Drum,-75.7581,44.0381,1,en,2,en,19,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,24,en,24,en,67,en,67,en,67,en,67,en,67,en,67,en
Fort Erie,-78.9722,42.9018,0,en,1,en,3,en,5,en,6,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,13,en,13,en,15,en,15,en,17,en,17,en,17,en,17,en
Fort Frances,-93.3955,48.6099,0,en,2,en,10,en,11,en,12,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en
Fort Hood,-97.78,31.13,0,en,0,en,1,en,2,en,2,en,2,en,5,en,5,en,5,en,5,en,6,en,6,en,9,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,11,en,11,en,11,en,11,en,12,en,12,en,12,en,12,en,12,en
Fort Hunt,-77.058,38.7329,0,en,2,en,6,en,22,en,22,en,22,en,22,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,26,en,26,en,26,en,26,en,26,en,26,en
Fort Irwin,-116.6846,35.2628,0,en,3,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,11,en,11,en,11,en,11,en,12,en,12,en,12,en,12,en
Fort Jennings,-84.2966,40.9064,1,en,1,en,1,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,5,en,6,en,8,en,8,en,8,en,8,en,9,en,9,en
Fort Kent,-68.5895,47.2587,0,en,1,en,1,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,10,en,10,en,10,en,10,en,10,en,10,en
Fort Knox,-85.9653,37.8837,0,en,1,en,3,en,8,en,9,en,10,en,10,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,12,en,13,en,13,en,16,en,16,en,16,en
Fort Lauderdale,-80.1373,26.1224,2,en,2,en,2,en,4,en,4,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,7,en,8,en,38,en,38,en,38,en,38,en,38,en,38,en
Fort Lee,-73.9701,40.8509,1,en,23,en,28,en,28,en,28,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,33,en,33,en,33,en,33,en,46,en,47,en,47,en,47,en,47,en,47,en
Fort Leonard Wood,-92.1172,37.7381,2,en,3,en,3,en,6,en,6,en,6,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,13,en,13,en,13,en,13,en,13,en,13,en
Fort MacLeod,-113.4,49.7217,10,en,11,en,42,en,42,en,42,en,42,en,42,en,42,en,45,en,45,en,45,en,45,en,45,en,45,en,45,en,45,en,45,en,45,en,45,en,45,en,45,en,45,en,45,en,46,en,46,en,46,en,46,en,46,en,46,en,46,en,46,en,46,en,46,en,46,en,46,en,46,en
Fort McMurray,-111.3803,56.7264,0,en,43,en,51,en,51,en,51,en,51,en,52,en,52,en,52,en,52,en,52,en,52,en,52,en,52,en,52,en,52,en,52,en,52,en,53,en,53,en,53,en,53,en,53,en,53,en,54,en,54,en,54,en,54,en,54,en,54,en,55,en,55,en,56,en,56,en,56,en,56,en
Fort Meade,-76.7268,39.1138,0,en,2,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,4,en,4,en,4,en,4,en,4,en,4,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,8,en,8,en,8,en,8,en,26,en,27,en,27,en,27,en,27,en,27,en
Fort Mill,-80.9451,35.0074,0,en,10,en,10,en,10,en,10,en,11,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,16,en,16,en,16,en,16,en,16,en,16,en
Fort Mitchell,-84.5599,39.0472,0,en,16,en,21,en,21,en,21,en,21,en,22,en,22,en,22,en,22,en,22,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,25,en,25,en,27,en,27,en,27,en,27,en,27,en,27,en
Fort Montgomery,-73.9868,41.3315,2,en,7,en,9,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,11,en,11,en,11,en,11,en,11,en,11,en,12,en,12,en,12,en,12,en,13,en,13,en
Fort Morgan,-103.7999,40.2503,2,en,16,en,16,en,19,en,19,en,20,en,20,en,20,en,21,en,21,en,21,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,26,en,30,en,30,en,30,en,30,en,30,en
Fort Myers,-81.8723,26.6406,9,en,11,en,12,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en
Fort Myers Beach,-81.9482,26.452,0,en,1,en,1,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,16,en,17,en,17,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,19,en,19,en,19,en
Fort Nelson,-122.6972,58.805,0,en,1,en,2,en,2,en,5,en,5,en,5,en,5,en,5,en,5,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,15,en,15,en,15,en,15,en,15,en,15,en
Fort Oglethorpe,-85.2569,34.949,0,en,19,en,20,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,24,en,25,en,25,en,25,en,25,en,25,en,25,en,25,en,25,en,25,en,25,en,25,en,25,en,25,en,25,en,25,en,25,en,25,en,25,en,25,en,25,en,26,en,26,en,26,en,26,en,26,en
Fort Payne,-85.7197,34.4443,0,en,119,en,119,en,123,en,123,en,123,en,123,en,123,en,123,en,123,en,123,en,123,en,123,en,123,en,123,en,123,en,123,en,123,en,123,en,123,en,123,en,123,en,123,en,123,en,124,en,125,en,125,en,125,en,125,en,125,en,133,en,138,en,138,en,138,en,138,en,138,en
Fort Pierce,-80.3256,27.4467,5,en,5,en,6,en,6,en,6,en,6,en,10,en,10,en,10,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,13,en,13,en,16,en,16,en,16,en,16,en,17,en,17,en,18,en
Fort Polk South,-93.2111,31.0469,1,en,5,en,5,en,5,en,6,en,6,en,6,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,9,en,54,en,54,en,62,en,63,en,63,en,63,en
Fort Riley,-96.8142,39.0883,0,en,7,en,7,en,7,en,7,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,9,en,9,en,9,en,9,en,9,en,9,en,10,en,10,en,10,en,10,en,10,en,10,en
Fort Rucker,-85.71,31.34,3,en,4,en,4,en,4,en,4,en,5,en,5,en,6,en,6,en,6,en,8,en,9,en,9,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,11,en,11,en,11,en,11,en,11,en
Fort Saskatchewan,-113.2095,53.7007,0,en,38,en,38,en,38,en,40,en,41,en,41,en,41,en,41,en,41,en,41,en,42,en,42,en,42,en,42,en,42,en,42,en,42,en,42,en,42,en,42,en,42,en,42,en,42,en,42,en,42,en,42,en,42,en,42,en,42,en,43,en,43,en,43,en,43,en,43,en,43,en
Fort Scott,-94.7083,37.8398,0,en,1,en,4,en,4,en,5,en,5,en,6,en,7,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,11,en,11,en,11,en,11,en,11,en,11,en
Fort Smith,-94.3985,35.3859,6,en,6,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en
Fort St. John,-120.8464,56.2524,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,0,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,10,en,10,en,10,en,10,en,10,en
Fort Stewart,-81.609,31.8691,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en
Fort Stockton,-102.8793,30.894,5,en,28,en,28,en,30,en,41,en,44,en,44,en,44,en,46,en,46,en,46,en,47,en,47,en,47,en,47,en,47,en,47,en,47,en,47,en,47,en,47,en,47,en,47,en,47,en,47,en,47,en,47,en,47,en,47,en,47,en,47,en,47,en,47,en,47,en,47,en,47,en
Fort Thomas,-84.4472,39.0751,0,en,0,en,6,en,7,en,7,en,7,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,12,en,12,en,12,en,12,en,12,en
Fort Walton Beach,-86.617,30.4201,0,en,1,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en
Fort Washington,-75.1927,40.1417,23,en,31,en,31,en,31,en,31,en,31,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,33,en,33,en,36,en,36,en,36,en,40,en,40,en,40,en,40,en
Fort Wayne,-85.1394,41.0793,1,en,37,en,37,en,37,en,37,en,39,en,39,en,40,en,40,en,40,en,40,en,41,en,41,en,41,en,41,en,41,en,41,en,41,en,41,en,41,en,41,en,41,en,42,en,42,en,42,en,42,en,42,en,42,en,42,en,44,en,44,en,44,en,44,en,44,en,44,en,44,en
Fort William,-5.1052,56.8198,11,en,12,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en
